datetime,Nino12,Nino12anom,Nino3,Nino3anom,Nino4,Nino4anom,Nino34,Nino34anom
2014-08-01,21.91,1.27,25.51,0.52,29.14,0.46,27.02,0.2
2014-09-01,21.3,0.96,25.31,0.45,29.34,0.65,27.17,0.45
2014-10-01,21.54,0.75,25.58,0.66,29.31,0.64,27.17,0.49
2014-11-01,22.33,0.74,25.88,0.91,29.52,0.88,27.5,0.85
2014-12-01,22.9,0.08,25.94,0.8,29.4,0.91,27.35,0.78
2015-01-01,24.13,-0.39,25.99,0.36,29.16,0.86,27.1,0.53
2015-02-01,25.59,-0.55,26.55,0.18,29.12,1.02,27.29,0.56
2015-03-01,26.69,0.06,27.29,0.15,29.32,1.13,27.79,0.58
2015-04-01,26.95,1.35,28.17,0.67,29.73,1.23,28.56,0.78
2015-05-01,26.71,2.43,28.28,1.19,29.88,1.09,28.88,1.03
2015-06-01,25.42,2.54,28.1,1.66,29.93,1.09,28.96,1.32
2015-07-01,24.48,2.87,27.79,2.17,29.8,1.0,28.82,1.6
2015-08-01,22.88,2.24,27.33,2.34,29.66,0.98,28.89,2.07
2015-09-01,22.91,2.57,27.48,2.63,29.73,1.04,29.0,2.28
2015-10-01,23.31,2.52,27.58,2.66,29.79,1.12,29.15,2.46
2015-11-01,23.83,2.24,27.91,2.93,30.3,1.67,29.6,2.95
2015-12-01,25.01,2.19,27.99,2.85,30.11,1.63,29.39,2.82
2016-01-01,25.93,1.41,28.21,2.58,29.65,1.35,29.17,2.6
2016-02-01,26.81,0.67,28.36,1.99,29.55,1.45,29.12,2.4
2016-03-01,27.57,0.93,28.7,1.57,29.53,1.34,28.9,1.68
2016-04-01,25.83,0.23,28.34,0.84,29.39,0.89,28.87,1.09
2016-05-01,24.55,0.27,27.11,0.03,29.39,0.6,28.15,0.3
2016-06-01,23.17,0.29,26.31,-0.12,29.36,0.52,27.53,-0.12
2016-07-01,21.79,0.17,25.14,-0.48,29.06,0.26,26.73,-0.49
2016-08-01,21.03,0.39,24.53,-0.46,28.68,-0.0,26.28,-0.54
2016-09-01,20.87,0.53,24.67,-0.18,28.48,-0.21,26.11,-0.61
2016-10-01,21.18,0.39,24.47,-0.45,28.26,-0.4,25.96,-0.73
2016-11-01,21.68,0.09,24.58,-0.4,28.27,-0.37,26.1,-0.55
2016-12-01,23.35,0.53,24.78,-0.36,28.35,-0.14,26.16,-0.41
2017-01-01,25.75,1.23,25.61,-0.02,28.18,-0.12,26.25,-0.32
2017-02-01,27.76,1.62,27.0,0.63,28.03,-0.07,26.87,0.14
2017-03-01,28.52,1.89,27.7,0.57,28.13,-0.06,27.34,0.13
2017-04-01,26.53,0.93,28.09,0.59,28.65,0.15,28.1,0.32
2017-05-01,25.06,0.78,27.6,0.51,29.08,0.29,28.3,0.46
2017-06-01,22.98,0.1,26.73,0.3,29.39,0.55,28.19,0.55
2017-07-01,21.54,-0.07,25.85,0.23,29.21,0.4,27.61,0.39
2017-08-01,20.19,-0.45,24.82,-0.17,28.87,0.19,26.67,-0.15
2017-09-01,19.67,-0.67,24.17,-0.68,28.69,0.0,26.29,-0.43
2017-10-01,19.45,-1.34,24.28,-0.64,28.55,-0.11,26.23,-0.46
2017-11-01,20.44,-1.15,23.92,-1.05,28.46,-0.18,25.79,-0.86
2017-12-01,21.44,-1.38,24.05,-1.09,28.24,-0.25,25.8,-0.77
2018-01-01,23.71,-0.81,24.48,-1.14,28.03,-0.27,25.82,-0.75
2018-02-01,25.57,-0.57,25.36,-1.01,27.86,-0.24,25.83,-0.9
2018-03-01,25.83,-0.8,26.37,-0.76,28.14,-0.05,26.48,-0.73
2018-04-01,24.58,-1.02,27.12,-0.38,28.63,0.12,27.42,-0.36
2018-05-01,23.73,-0.54,26.94,-0.15,29.01,0.22,27.72,-0.13
2018-06-01,22.19,-0.69,26.72,0.29,29.16,0.32,27.85,0.2
2018-07-01,21.43,-0.19,26.05,0.43,29.1,0.3,27.52,0.3
2018-08-01,20.66,0.02,25.14,0.15,29.19,0.51,27.11,0.29
2018-09-01,20.31,-0.03,25.2,0.35,29.17,0.48,27.1,0.38
2018-10-01,21.23,0.43,25.78,0.86,29.61,0.95,27.55,0.86
2018-11-01,22.27,0.68,26.02,1.05,29.59,0.95,27.64,0.99
2018-12-01,23.6,0.78,26.12,0.98,29.52,1.03,27.53,0.96
2019-01-01,25.1,0.57,26.17,0.55,29.0,0.65,27.08,0.52
2019-02-01,26.45,0.24,26.91,0.55,29.06,0.86,27.41,0.68
2019-03-01,26.8,0.07,27.89,0.71,29.1,0.77,28.22,0.95
2019-04-01,25.68,-0.01,28.17,0.56,29.24,0.56,28.6,0.71
2019-05-01,24.38,-0.08,27.69,0.51,29.58,0.63,28.57,0.62
2019-06-01,22.62,-0.38,26.81,0.27,29.62,0.6,28.24,0.47
2019-07-01,21.34,-0.33,25.68,-0.07,29.73,0.77,27.63,0.3
2019-08-01,20.2,-0.46,24.89,-0.15,29.5,0.68,26.97,0.1
2019-09-01,19.5,-0.83,24.61,-0.23,29.33,0.55,26.7,-0.03
2019-10-01,20.02,-0.71,25.12,0.17,29.64,0.88,27.31,0.59
2019-11-01,21.32,-0.22,25.46,0.41,29.47,0.7,27.26,0.51
2019-12-01,23.16,0.4,25.47,0.26,29.5,0.91,27.07,0.43
2020-01-01,24.55,0.02,25.81,0.2,29.28,0.93,27.09,0.53
2020-02-01,26.56,0.35,26.61,0.24,29.17,0.98,27.14,0.41
2020-03-01,27.11,0.38,27.43,0.24,29.22,0.89,27.82,0.55
2020-04-01,26.0,0.32,28.01,0.4,29.29,0.61,28.32,0.44
2020-05-01,24.24,-0.22,26.82,-0.36,28.94,-0.01,27.59,-0.36
2020-06-01,22.13,-0.87,25.75,-0.79,29.07,0.05,27.3,-0.47
2020-07-01,20.44,-1.23,25.08,-0.66,28.83,-0.13,26.89,-0.44
2020-08-01,19.69,-0.97,24.42,-0.62,28.47,-0.35,26.18,-0.69
2020-09-01,19.48,-0.85,23.58,-1.26,28.29,-0.49,25.77,-0.96
2020-10-01,19.67,-1.07,23.61,-1.34,27.89,-0.87,25.3,-1.42
2020-11-01,20.94,-0.61,23.82,-1.23,27.91,-0.86,25.34,-1.42
2020-12-01,22.16,-0.6,24.38,-0.83,27.65,-0.95,25.53,-1.12
2021-01-01,23.89,-0.64,25.06,-0.55,27.1,-1.25,25.58,-0.99
2021-02-01,25.55,-0.66,25.8,-0.57,27.2,-1.0,25.81,-0.92
2021-03-01,26.48,-0.26,26.8,-0.39,27.79,-0.55,26.75,-0.51
2021-04-01,24.89,-0.8,26.96,-0.65,28.47,-0.21,27.4,-0.49
